exp_moment,animal_ID,model,hpo_config,pretrain_type,n_pretrain_episodes,repeat_idx,total_reward,n_actions,seed,elapsed_s,timestamp
251231-172527,031,DQN,default,target_session,5,0,83.0,121,42,0.4174468517303467,2026-03-16T20:35:22.090520
251231-172527,031,DQN,default,target_session,5,1,70.0,121,43,0.4418628215789795,2026-03-16T20:35:22.532405
251231-172527,031,DQN,default,target_session,5,2,108.0,121,44,0.4409751892089844,2026-03-16T20:35:22.973402
251231-172527,031,DQN,default,target_session,5,3,91.0,121,45,0.48993897438049316,2026-03-16T20:35:23.463361
251231-172527,031,DQN,default,target_session,5,4,99.0,121,46,0.42002010345458984,2026-03-16T20:35:23.883402
251231-172527,031,DQN,default,target_session,10,0,39.0,121,42,0.6976420879364014,2026-03-16T20:35:24.581069
251231-172527,031,DQN,default,target_session,10,1,56.0,121,43,0.7052271366119385,2026-03-16T20:35:25.286318
251231-172527,031,DQN,default,target_session,10,2,105.0,121,44,0.7259209156036377,2026-03-16T20:35:26.012260
251231-172527,031,DQN,default,target_session,10,3,102.0,121,45,0.7460689544677734,2026-03-16T20:35:26.758350
251231-172527,031,DQN,default,target_session,10,4,101.0,121,46,0.6505632400512695,2026-03-16T20:35:27.408934
251231-172527,031,DQN,default,target_session,20,0,22.0,121,42,1.1936099529266357,2026-03-16T20:35:28.602567
251231-172527,031,DQN,default,target_session,20,1,61.0,121,43,1.279520034790039,2026-03-16T20:35:29.882109
251231-172527,031,DQN,default,target_session,20,2,101.0,121,44,1.252978801727295,2026-03-16T20:35:31.135108
251231-172527,031,DQN,default,target_session,20,3,107.0,121,45,1.305177927017212,2026-03-16T20:35:32.440309
251231-172527,031,DQN,default,target_session,20,4,105.0,121,46,1.2543108463287354,2026-03-16T20:35:33.694640
251230-171810,031,DQN,default,target_session,0,0,28.0,171,42,0.17008090019226074,2026-03-16T20:35:33.865271
251230-171810,031,DQN,default,target_session,0,1,56.0,171,43,0.20442914962768555,2026-03-16T20:35:34.069725
251230-171810,031,DQN,default,target_session,0,2,22.0,171,44,0.172806978225708,2026-03-16T20:35:34.242554
251230-171810,031,DQN,default,target_session,0,3,18.0,171,45,0.22913098335266113,2026-03-16T20:35:34.471705
